#time,accel_x,accel_y,accel_z
283.378201,-50334.004056,-46929.056723,74004.825107
283.380747,-3849.070898,-61585.134374,98366.661943
283.383293,-31088.649564,-36270.091158,97447.347346
283.385840,33605.349767,26203.290347,71400.100414
283.388386,47373.180288,-1628.453072,57916.819649
283.390933,-27387.619854,-62917.505070,59755.448844
283.393479,13915.871710,-23834.631332,68948.594820
283.396025,-15692.365970,-28423.908173,87334.886772
283.398572,-31976.896694,2812.782580,91165.364262
283.401118,7402.059420,65434.205273,92697.555258
283.403665,76537.294403,82606.983127,75537.016103
283.406211,87196.259968,-37010.297100,64658.460031
283.408757,-17320.819043,-21910.095883,63585.926334
283.411304,-66322.452403,-15692.365970,80133.589091
283.413850,-72540.182316,3849.070898,105874.397824
283.416397,-43376.068201,-32272.979071,95915.156350
283.418943,41895.656317,24722.878463,72166.195912
283.421489,56995.857534,-4737.318029,56231.409553
283.424036,-42339.779882,-60252.763679,59908.667944
283.426582,-8734.430116,-33901.432144,68335.718422
283.429129,-12435.459826,-38638.750172,89326.735067
283.431675,-8142.265362,-11251.130318,89479.954166
283.434222,8586.388927,72540.182316,88713.858668
283.436768,59660.598925,88824.713040,77069.207099
283.439314,98151.307909,-33753.390955,65424.555529
283.441861,68839.152606,54331.116143,64045.583633
283.444407,-64249.875766,-12879.583391,79827.150892
283.446954,-82606.983127,24574.837274,108325.903417
283.449500,-44560.397708,-5625.565159,97907.004644
283.452046,62621.422693,23242.466579,70480.785816
283.454593,71059.770432,-11991.336260,56691.066852
283.457139,-58032.145853,-56551.733969,61747.297139
283.459686,-25167.002028,-50037.921679,69101.813920
283.462232,-7994.224174,-43968.232955,89633.173266
283.464778,4589.276840,-13619.789333,91778.240660
283.467325,5477.523971,74316.676577,88713.858668
283.469877,11103.089130,63213.587447,70634.004916
283.472429,79646.159359,-30052.361245,66497.089226
283.474981,72540.182316,42339.779882,67263.184724
283.477534,-59660.598925,-14359.995275,80133.589091
283.480086,-89120.795417,35233.802839,106334.055122
283.482638,-35085.761651,10955.047942,99745.633840
283.485190,80534.406490,21614.013506,74617.701505
283.487742,69135.234983,-20133.601622,59602.229744
283.490294,-67654.823099,-52554.621882,64198.802732
283.492847,-42339.779882,-54627.198520,70480.785816
283.495399,1036.288319,-54183.074954,90246.049664
283.497951,12435.459826,0.000000,87794.544071
283.500503,-9030.512492,43228.027013,81052.903688
283.503055,19393.395680,45892.768404,67722.842023
283.505608,47669.262665,-45744.727216,64505.240932
283.508160,60844.928432,24574.837274,67416.403824
283.510712,-49741.839302,-15248.242405,82738.313784
283.513264,-83791.312634,19689.478057,108479.122517
283.515816,-6069.688724,36862.255912,100971.386636
283.518369,96670.896025,35677.926404,75690.235202
283.520921,67358.740722,-25611.125593,63892.364533
283.523473,-60400.804867,-41155.450375,65271.336430
283.526025,-47817.303853,-55367.404462,71400.100414
283.528577,-28127.825796,-42339.779882,103729.330429
283.531129,-25463.084405,-62917.505070,95608.718150
283.533682,-8586.388927,40563.285622,74617.701505
283.536234,28719.990550,21910.095883,63585.926334
283.538786,17024.736666,-49741.839302,62513.392637
283.541338,45892.768404,6513.812290,69867.909418
283.543890,-40859.367998,-19097.313304,85036.600278
283.546443,-75501.006084,27091.537477,101890.701234
283.548995,6513.812290,50630.086433,99132.757441
283.551547,97855.225532,53146.786636,75230.577904
283.554099,68543.070229,-33161.226202,63892.364533
283.556651,-39675.038491,23982.672521,62053.735338
283.559204,-59216.475360,-20873.807564,78294.959896
283.561756,-49741.839302,-30940.608376,103882.549529
283.564308,-38786.791361,-52258.539505,95455.499051
283.566860,23834.631332,28571.949361,72319.415011
283.569412,55071.322085,740.205942,60521.544342
283.571969,-16728.654289,-52258.539505,60368.325242
283.574525,8734.430116,-22650.301825,69714.690318
283.577082,-23982.672521,-28719.990550,87947.763170
283.579638,-38194.626607,23242.466579,91318.583362
283.582194,11695.253884,65730.287650,92697.555258
283.584751,84975.642142,71355.852809,76456.330700
283.587307,101852.337619,-31236.690752,66497.089226
283.589864,62473.381505,52554.621882,62053.735338
283.592420,-65582.246461,-10955.047942,79980.369991
283.594977,-70023.482113,-4293.194464,108325.903417
283.597533,-39082.873738,-19541.436869,97294.128246
283.600089,56699.775157,24426.796086,70480.785816
283.602646,54923.280896,-13767.830521,55924.971354
283.605202,-62769.463882,-52406.580694,60827.982541
283.607759,-14804.118840,-44116.274143,69408.252119
283.610315,-888.247130,-45300.603650,89326.735067
283.612872,-2368.659014,6217.729913,90092.830565
283.615428,-14804.118840,51370.292375,80593.246390
283.617984,8586.388927,72540.182316,70940.443115
283.620541,74464.717765,-44856.480085,66956.746525
283.623097,71948.017562,41599.573940,65884.212828
283.625654,-57884.104664,-8586.388927,78754.617194
283.628210,-76981.417968,16728.654289,107559.807919
283.630766,-22946.384202,2368.659014,101277.824836
283.633323,74168.635388,43079.985824,72779.072310
283.635879,64101.834577,-26203.290347,61440.858940
283.638436,-69727.399736,-45892.768404,64811.679131
283.640992,-42931.944636,-54627.198520,70940.443115
283.643549,4885.359217,-58032.145853,91012.145162
283.646105,-13915.871710,-62177.299128,91471.802461
283.648661,-10066.800811,29016.072926,78601.398095
283.651218,17172.777854,35825.967593,65884.212828
283.653778,30348.443622,-58328.228230,64045.583633
283.656338,59364.516548,23390.507767,67722.842023
283.658898,-36418.132346,-8290.306550,82891.532884
283.661458,-72540.182316,31532.773129,103882.549529
283.664018,740.205942,34937.720462,100205.291138
283.666578,94746.360576,68691.111418,75843.454302
283.669138,70911.729244,-19393.395680,64505.240932
283.671698,-50037.921679,-40563.285622,64198.802732
283.674258,-64842.040519,-19689.478057,78294.959896
283.676818,-44116.274143,-34493.596897,105567.959624
283.679378,-32865.143825,-56107.610404,94382.965354
283.681938,19837.519246,5477.523971,72166.195912
283.684498,38638.750172,6809.894666,61747.297139
283.687058,-22354.219448,-63361.628635,60521.544342
283.689618,23094.425390,-19541.436869,68182.499322
283.692178,-14211.954086,-17024.736666,87028.448573
283.694738,-37602.461854,24722.878463,90092.830565
283.697298,14359.995275,63805.752200,91318.583362
283.699858,86011.930460,94894.401764,76762.768900
283.702418,83051.106692,-31976.896694,65271.336430
283.704978,70319.564490,43079.985824,62666.611736
283.707538,-67210.699534,-6661.853478,77528.864398
283.710098,-69135.234983,-22798.343014,107713.027019
283.712658,-29164.114115,6513.812290,96528.032748
283.715218,70911.729244,23538.548956,74464.482406
283.717778,49445.756926,-18949.272115,56537.847752
283.720338,-70763.688055,-66914.617157,62666.611736
283.722898,-24278.754898,-49445.756926,67569.622924
283.725458,1776.494261,-38046.585419,87181.667672
283.728018,-16876.695478,15100.201217,91625.021561
283.730578,-8142.265362,98299.349098,93616.869856
283.733138,13027.624579,49001.633360,70174.347617
283.735698,84827.600953,-66766.575968,63739.145434
283.738258,70319.564490,43968.232955,65118.117330
283.740818,-68987.193794,-12435.459826,82125.437386
283.743378,-83051.106692,-740.205942,110317.751712
283.745938,5773.606348,47077.097911,101890.701234
283.748498,105849.449706,63361.628635,75537.016103
283.751058,51370.292375,-32569.061448,62666.611736
283.753618,-74316.676577,-52554.621882,64658.460031
283.756183,-45004.521274,-60252.763679,68948.594820
283.758745,17764.942608,-51370.292375,92544.336158
283.761308,-9178.553681,-7698.141797,94229.746254
